Dataset,ARO-APO,GA,PSO
adult,1681.12 ± 449.18,640.40 ± 103.10,456.33 ± 91.57
cahousing,1903.32 ± 426.54,850.50 ± 182.56,624.30 ± 57.43
cmc,117.18 ± 28.76,51.01 ± 6.57,48.69 ± 4.41
italia,74.80 ± 16.58,35.74 ± 6.95,34.15 ± 8.48
medical,7979.69 ± 1938.61,3958.19 ± 1125.24,1941.14 ± 692.94
mgm,103.87 ± 30.04,47.44 ± 6.47,43.18 ± 8.57
