Dataset,ARO-APO,GA,PSO
adult,1.0000 ± 0.0000,1.0000 ± 0.0000,0.9917 ± 0.0454
cahousing,0.8083 ± 0.0014,0.8077 ± 0.0000,0.8082 ± 0.0013
cmc,0.9729 ± 0.0000,0.9729 ± 0.0000,0.9729 ± 0.0000
italia,0.2000 ± 0.0000,0.2000 ± 0.0000,0.2000 ± 0.0000
medical,0.4210 ± 0.0004,0.4212 ± 0.0007,0.4212 ± 0.0014
mgm,0.5426 ± 0.0015,0.5438 ± 0.0088,0.5428 ± 0.0018
