Dataset,Algorithm,Run_ID,Best_Fitness,Info_Loss,Accuracy_Original,Accuracy_After,Execution_Time_s,K_Violations,L_Violations,Iterations,Success,Solution_Vector
italia,GA,27,105.0,0.5,0.15,0.2,39.72307968139648,0,0,6,1,"[1, 3, 5]"
italia,PSO,1,107.77777777777776,0.5555555555555555,0.15,0.2,29.45884108543396,0,0,2,1,"[1, 3, 6]"
italia,PSO,4,105.0,0.5,0.15,0.2,27.418452501297,0,0,1,1,"[1, 3, 5]"
italia,GA,30,105.0,0.5,0.15,0.2,50.073301792144775,0,0,10,1,"[1, 3, 5]"
italia,GA,29,105.0,0.5,0.15,0.2,51.94911956787109,0,0,11,1,"[1, 3, 5]"
italia,PSO,3,105.0,0.5,0.15,0.2,40.08632636070252,0,0,6,1,"[1, 3, 5]"
italia,PSO,2,105.0,0.5,0.15,0.2,44.76168584823608,0,0,8,1,"[1, 3, 5]"
italia,PSO,6,105.0,0.5,0.15,0.2,29.9063732624054,0,0,2,1,"[1, 3, 5]"
italia,PSO,7,105.0,0.5,0.15,0.2,29.90495729446411,0,0,2,1,"[1, 3, 5]"
italia,PSO,8,105.0,0.5,0.15,0.2,30.07734727859497,0,0,2,1,"[1, 3, 5]"
italia,PSO,5,105.0,0.5,0.15,0.2,49.85636854171753,0,0,10,1,"[1, 3, 5]"
italia,PSO,9,105.0,0.5,0.15,0.2,34.826300382614136,0,0,4,1,"[1, 3, 5]"
italia,PSO,10,105.0,0.5,0.15,0.2,29.94837164878845,0,0,2,1,"[1, 3, 5]"
italia,PSO,11,105.0,0.5,0.15,0.2,35.56633543968201,0,0,4,1,"[1, 3, 5]"
italia,PSO,13,105.0,0.5,0.15,0.2,30.9216787815094,0,0,2,1,"[1, 3, 5]"
italia,PSO,14,105.0,0.5,0.15,0.2,30.97586488723755,0,0,2,1,"[1, 3, 5]"
italia,PSO,15,105.0,0.5,0.15,0.2,31.355483531951904,0,0,2,1,"[1, 3, 5]"
italia,PSO,12,105.0,0.5,0.15,0.2,40.975507736206055,0,0,6,1,"[1, 3, 5]"
italia,PSO,16,105.0,0.5,0.15,0.2,30.9941041469574,0,0,2,1,"[1, 3, 5]"
italia,PSO,19,105.0,0.5,0.15,0.2,31.626771688461304,0,0,2,1,"[1, 3, 5]"
italia,PSO,18,105.0,0.5,0.15,0.2,33.93732833862305,0,0,3,1,"[1, 3, 5]"
italia,PSO,21,107.77777777777776,0.5555555555555555,0.15,0.2,31.38278150558472,0,0,2,1,"[1, 4, 5]"
italia,PSO,22,105.0,0.5,0.15,0.2,31.3265073299408,0,0,2,1,"[1, 3, 5]"
italia,PSO,25,105.0,0.5,0.15,0.2,28.333265781402588,0,0,1,1,"[1, 3, 5]"
italia,PSO,26,105.0,0.5,0.15,0.2,28.446144580841064,0,0,1,1,"[1, 3, 5]"
italia,PSO,17,105.0,0.5,0.15,0.2,54.57225036621094,0,0,11,1,"[1, 3, 5]"
italia,PSO,24,105.0,0.5,0.15,0.2,30.899376392364506,0,0,2,1,"[1, 3, 5]"
italia,PSO,27,105.0,0.5,0.15,0.2,24.779274463653564,0,0,1,1,"[1, 3, 5]"
italia,PSO,20,105.0,0.5,0.15,0.2,55.54814195632935,0,0,13,1,"[1, 3, 5]"
italia,PSO,23,105.0,0.5,0.15,0.2,44.22908568382263,0,0,10,1,"[1, 3, 5]"
italia,PSO,30,105.0,0.5,0.15,0.2,19.77842378616333,0,0,2,1,"[1, 3, 5]"
italia,PSO,29,105.0,0.5,0.15,0.2,24.938798189163208,0,0,5,1,"[1, 3, 5]"
italia,PSO,28,105.0,0.5,0.15,0.2,37.80102777481079,0,0,10,1,"[1, 3, 5]"
cmc,ARO-APO,1,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,90.10676074028017,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,7,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,90.87084627151488,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,9,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,91.01691603660583,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,6,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,92.2076690196991,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,5,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,112.5167977809906,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,2,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,128.97026896476746,0,0,4,1,"[2, 2, 2]"
cmc,ARO-APO,10,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,149.36051964759827,0,0,6,1,"[2, 2, 2]"
cmc,ARO-APO,3,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,168.84523606300354,0,0,8,1,"[2, 2, 2]"
cmc,ARO-APO,4,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,171.5345802307129,0,0,9,1,"[2, 2, 2]"
cmc,ARO-APO,8,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,185.60035037994385,0,0,10,1,"[2, 2, 2]"
cmc,ARO-APO,12,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,97.03494143486024,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,14,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,115.19180631637572,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,13,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,117.712016582489,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,15,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,97.7533392906189,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,16,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,96.69591188430786,0,0,1,1,"[2, 2, 2]"
